date,time,number,colour,1-18 / 19-36,odd / even,dozen,column,three,six,corners,call,neighbours
2-2-2019,20:3:0,24,B,SH,even,second,three,H,19-24,n-p,thirds of the wheel,10-5-16-33
2-2-2019,20:30:0,28,B,SH,even,third,one ,G,25-30,q-s,neighbours of zero,29-7-12-35
2-2-2019,20:46:0,35,B,SH,odd,third,two,L,31-36,u-v,"neighbours of zero, zero game",28-12-3-26
2-2-2019,20:30:0,28,B,SH,even,third,one ,G,25-30,q-s,neighbours of zero,29-7-12-35
2-2-2019,20:26:0,9,R,FH,odd,first,three,C,7-12,d-f,the orphans,14-31-22-18
2-2-2019,20:43:0,2,B,FH,even,first,two,A,1-6,a-b,neighbours of zero,4-21-25-17
2-2-2019,20:37:0,15,B,FH,odd,second,three,E,13-18,h-j,"neighbours of zero, zero game",0-32-19-4
2-2-2019,19:58:0,33,B,SH,odd,third,three,K,31-36,t-v,thirds of the wheel,24-16-1-20
2-2-2019,20:28:0,18,R,FH,even,second,three,F,13-18,j-l,neighbours of zero,9-22-29-7
2-2-2019,20:8:0,22,B,SH,even,second,one ,H,19-24,m-o,neighbours of zero,31-9-18-29
2-2-2019,20:33:0,4,B,FH,even,first,one ,B,1-6,a-c,neighbours of zero,15-19-21-2
2-2-2019,20:37:0,15,B,FH,odd,second,three,E,13-18,h-j,"neighbours of zero, zero game",0-32-19-4
2-2-2019,20:7:0,31,B,SH,odd,third,one ,K,31-36,s-u, ,20-14-9-22
2-2-2019,20:23:0,25,R,SH,odd,third,one ,I,25-30,o-q,neighbours of zero,21-2-17-34
2-2-2019,20:2:0,12,R,FH,even,first,three,D,7-12,f-h,"neighbours of zero, zero game",7-28-35-3
2-2-2019,20:33:0,4,B,FH,even,first,one ,B,1-6,a-c,neighbours of zero,15-19-21-2
2-2-2019,20:11:0,16,R,FH,even,second,one ,F,13-18,I-k,thirds of the wheel,5-24-33-1
2-2-2019,19:57:0,27,R,SH,odd,third,three,I,25-30,p-r,thirds of the wheel,34-6-13-36
2-2-2019,20:30:0,28,B,SH,even,third,one ,G,25-30,q-s,neighbours of zero,29-7-12-35
2-2-2019,20:7:0,31,B,SH,odd,third,one ,K,31-36,s-u, ,20-14-9-22
2-2-2019,20:28:0,18,R,FH,even,second,three,F,13-18,j-l,neighbours of zero,9-22-29-7
2-2-2019,20:8:0,22,B,SH,even,second,one ,H,19-24,m-o,neighbours of zero,31-9-18-29
2-2-2019,20:26:0,9,R,FH,odd,first,three,C,7-12,d-f,the orphans,14-31-22-18
2-2-2019,19:59:0,0,,,,,,"M,N",,,"neighbours of zero, zero game",3-26-32-15
2-2-2019,20:3:0,24,B,SH,even,second,three,H,19-24,n-p,thirds of the wheel,10-5-16-33
2-2-2019,20:23:0,25,R,SH,odd,third,one ,I,25-30,o-q,neighbours of zero,21-2-17-34
2-2-2019,20:11:0,16,R,FH,even,second,one ,F,13-18,I-k,thirds of the wheel,5-24-33-1
2-2-2019,20:10:0,1,R,FH,odd,first,one ,A,1-6,a,the orphans,16-33-20-14
2-2-2019,19:59:0,0,,,,,,"M,N",,,"neighbours of zero, zero game",3-26-32-15
2-2-2019,20:8:0,22,B,SH,even,second,one ,H,19-24,m-o,neighbours of zero,31-9-18-29
2-2-2019,20:7:0,31,B,SH,odd,third,one ,K,31-36,s-u, ,20-14-9-22
2-2-2019,20:6:0,29,B,SH,odd,third,two,G,25-30,q-r-s-t,neighbours of zero,22-18-7-28
2-2-2019,20:5:0,6,B,FH,even,first,three,B,1-6,b-d,the orphans,17-34-27-13
2-2-2019,20:4:0,10,B,FH,even,first,one ,D,7-12,e-g,thirds of the wheel,8-23-5-24
2-2-2019,20:3:0,24,B,SH,even,second,three,H,19-24,n-p,thirds of the wheel,10-5-16-33
2-2-2019,20:2:0,12,R,FH,even,first,three,D,7-12,f-h,"neighbours of zero, zero game",7-28-35-3
2-2-2019,20:1:0,17,B,FH,odd,second,two,F,13-18,i-j-k-l,the orphans,2-25-34-6
2-2-2019,20:0:0,11,B,FH,odd,first,two,D,7-12,e-f-g-h,thirds of the wheel,13-26-30-8
2-2-2019,19:59:0,0,,,,,,"M,N",,,"neighbours of zero, zero game",3-26-32-15
2-2-2019,19:58:0,33,B,SH,odd,third,three,K,31-36,t-v,thirds of the wheel,24-16-1-20
2-2-2019,19:57:0,27,R,SH,odd,third,three,I,25-30,p-r,thirds of the wheel,34-6-13-36
2-2-2019,19:56:0,30,R,SH,even,third,three,G,25-30,r-t,thirds of the wheel,36-11-8-23
